,Name,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Andrew Wiggins,25,70,2327,14.9,0.5670000000000001,0.35100000000000003,0.226,3.7,11.7,7.7,11.1,1.3,2.6,9.8,23.3,1.2,2.6,3.8,0.079,-0.1,-0.6,-0.7,0.8
2,Stephen Curry,32,62,2112,26.3,0.6559999999999999,0.586,0.293,1.4,15.4,8.5,30.2,1.7,0.3,12.1,34.5,6.4,2.5,8.9,0.203,8.0,0.0,8.1,5.4
3,Draymond Green,30,62,1944,13.2,0.526,0.332,0.22,3.0,20.9,12.1,36.5,2.5,2.3,31.1,13.1,1.1,3.3,4.4,0.109,-1.8,3.2,1.4,1.7
4,Kelly Oubre,25,55,1687,13.3,0.529,0.39399999999999996,0.244,5.2,15.4,10.4,6.5,1.6,2.2,8.0,22.1,0.0,2.2,2.2,0.061,-1.5,-0.6,-2.1,-0.1
5,Kent Bazemore,31,65,1274,10.9,0.565,0.475,0.195,2.2,16.4,9.4,11.4,2.4,2.3,15.9,16.4,-0.2,2.0,1.8,0.067,-2.8,1.3,-1.4,0.2
6,Kevon Looney,24,59,1108,11.8,0.574,0.09,0.23399999999999999,10.8,18.2,14.6,13.4,0.9,1.8,14.8,9.4,1.9,1.3,3.2,0.13699999999999998,-2.0,0.5,-1.5,0.1
7,Damion Lee,28,57,1079,11.8,0.636,0.708,0.161,2.2,15.4,8.9,9.1,1.7,0.7,9.3,12.8,1.4,1.3,2.7,0.11800000000000001,-0.8,0.5,-0.3,0.5
8,Juan Toscano-Anderson,27,51,1047,12.6,0.6809999999999999,0.436,0.149,2.9,19.5,11.3,17.8,1.7,2.2,21.8,10.8,1.3,1.5,2.8,0.13,-1.6,2.2,0.7,0.7
9,Jordan Poole,21,49,930,14.3,0.5710000000000001,0.5870000000000001,0.239,1.5,8.1,4.9,15.1,1.2,0.8,8.6,24.6,0.8,0.8,1.6,0.083,0.4,-1.5,-1.1,0.2
10,James Wiseman,19,39,836,13.1,0.552,0.10300000000000001,0.23399999999999999,7.1,21.5,14.4,4.9,0.6,3.8,12.9,23.8,-0.4,1.1,0.7,0.042,-4.0,-1.4,-5.4,-0.7
11,Mychal Mulder,26,58,717,10.3,0.605,0.809,0.085,1.2,7.0,4.2,4.7,0.7,1.4,5.9,16.2,0.5,0.5,1.0,0.068,-1.1,-1.5,-2.6,-0.1
12,Eric Paschall,24,39,676,13.3,0.555,0.18100000000000002,0.304,4.3,15.1,9.8,11.7,0.8,0.9,11.0,23.6,0.2,0.7,0.8,0.059000000000000004,-1.7,-1.5,-3.1,-0.2
13,Brad Wanamaker,31,39,625,8.5,0.46799999999999997,0.353,0.324,1.4,9.8,5.6,20.8,2.0,0.9,15.8,16.0,-0.2,0.7,0.5,0.035,-4.7,0.3,-4.4,-0.4
14,Nico Mannion,19,29,332,9.0,0.496,0.529,0.245,1.0,11.1,6.1,25.3,2.3,0.3,21.0,18.4,-0.2,0.4,0.2,0.023,-3.6,-0.4,-4.0,-0.2
15,Alen Smailagić,20,14,64,10.6,0.486,0.33299999999999996,0.28600000000000003,8.4,14.8,11.6,6.5,1.5,6.9,14.5,18.5,-0.1,0.1,0.0,0.027999999999999997,-4.1,0.1,-3.9,0.0
16,Gary Payton,28,10,40,29.2,0.847,0.308,0.308,5.4,23.7,14.6,4.1,7.0,2.2,6.3,16.8,0.2,0.1,0.3,0.331,0.5,9.0,9.5,0.1
17,Marquese Chriss,23,2,27,11.8,0.41200000000000003,0.35700000000000004,0.28600000000000003,12.0,39.0,25.6,11.0,0.0,6.6,11.3,28.1,-0.1,0.1,0.0,-0.031,-2.2,-1.0,-3.2,0.0
