Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
,Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
,1,1,2020-12-22,@,BRK,L,99,125,37,99,0.374,10,33,0.303,15,23,0.652,13,47,26,6,6,18,24,,42,92,0.457,15,35,0.429,26,32,0.813,13,57,24,11,7,20,22
,2,2,2020-12-25,@,MIL,L,99,138,34,99,0.343,10,45,0.222,21,25,0.840,10,43,14,5,6,11,22,,50,90,0.556,20,36,0.556,18,26,0.692,11,60,25,6,4,17,17
,3,3,2020-12-27,@,CHI,W,129,128,42,104,0.404,18,47,0.383,27,30,0.900,10,41,25,17,4,12,23,,44,86,0.512,17,41,0.415,23,31,0.742,7,54,27,4,6,24,21
,4,4,2020-12-29,@,DET,W,116,106,38,76,0.500,14,33,0.424,26,36,0.722,4,40,21,8,8,19,28,,35,92,0.380,13,35,0.371,23,29,0.793,16,45,21,8,6,15,26
,5,5,2021-01-01,,POR,L,98,123,31,79,0.392,7,35,0.200,29,33,0.879,3,44,19,4,9,15,28,,40,92,0.435,20,43,0.465,23,30,0.767,8,51,23,11,3,10,27
,6,6,2021-01-03,,POR,W,137,122,49,88,0.557,13,34,0.382,26,34,0.765,11,53,23,4,7,15,24,,41,98,0.418,14,43,0.326,26,33,0.788,12,40,16,7,2,12,27
,7,7,2021-01-04,,SAC,W,137,106,51,97,0.526,23,43,0.535,12,14,0.857,3,48,41,4,6,11,28,,34,90,0.378,10,35,0.286,28,39,0.718,11,52,20,5,6,14,20
,8,8,2021-01-06,,LAC,L,101,108,39,86,0.453,8,30,0.267,15,19,0.789,8,35,25,10,2,13,21,,36,81,0.444,11,34,0.324,25,25,1.000,12,48,19,6,3,19,26
,9,9,2021-01-08,,LAC,W,115,105,40,82,0.488,20,41,0.488,15,18,0.833,9,38,25,13,3,15,19,,40,83,0.482,14,31,0.452,11,13,0.846,10,37,23,6,5,18,16
,10,10,2021-01-10,,TOR,W,106,105,38,93,0.409,13,46,0.283,17,19,0.895,12,51,30,2,10,15,18,,39,96,0.406,13,38,0.342,14,22,0.636,13,48,20,8,10,10,22
,11,11,2021-01-12,,IND,L,95,104,34,89,0.382,13,38,0.342,14,22,0.636,10,46,25,8,8,15,21,,39,88,0.443,9,28,0.321,17,25,0.680,10,50,26,9,9,14,17
,12,12,2021-01-14,@,DEN,L,104,114,38,81,0.469,11,29,0.379,17,24,0.708,5,43,29,9,4,19,25,,41,90,0.456,11,37,0.297,21,27,0.778,10,50,29,11,5,13,23
,13,13,2021-01-18,@,LAL,W,115,113,44,87,0.506,12,37,0.324,15,20,0.750,5,32,31,8,3,13,27,,40,83,0.482,9,29,0.310,24,33,0.727,12,50,23,6,5,16,22
,14,14,2021-01-20,,SAS,W,121,99,46,91,0.505,15,38,0.395,14,20,0.700,10,54,31,6,2,14,22,,35,94,0.372,4,33,0.121,25,31,0.806,12,43,17,7,2,10,15
,15,15,2021-01-21,,NYK,L,104,119,33,86,0.384,9,38,0.237,29,39,0.744,9,46,27,5,3,10,26,,38,82,0.463,11,24,0.458,32,41,0.780,11,55,24,5,9,11,29
,16,16,2021-01-23,@,UTA,L,108,127,42,93,0.452,14,39,0.359,10,15,0.667,4,35,30,6,8,11,21,,45,94,0.479,20,50,0.400,17,22,0.773,14,57,28,6,4,16,20
,17,17,2021-01-25,,MIN,W,130,108,44,89,0.494,14,30,0.467,28,37,0.757,15,46,21,13,10,15,19,,39,94,0.415,8,24,0.333,22,25,0.880,16,47,26,8,5,18,28
,18,18,2021-01-27,,MIN,W,123,111,45,85,0.529,15,34,0.441,18,23,0.783,11,46,32,11,5,21,28,,37,87,0.425,14,36,0.389,23,33,0.697,11,39,23,12,7,17,22
,19,19,2021-01-28,@,PHO,L,93,114,38,99,0.384,11,38,0.289,6,8,0.750,12,48,21,8,1,13,19,,41,88,0.466,11,32,0.344,21,23,0.913,9,57,34,7,1,14,14
,20,20,2021-01-30,,DET,W,118,91,47,89,0.528,17,36,0.472,7,10,0.700,8,47,34,6,5,14,23,,29,77,0.377,9,36,0.250,24,32,0.750,7,38,17,7,4,14,14
,21,21,2021-02-02,,BOS,L,107,111,38,83,0.458,15,37,0.405,16,23,0.696,6,36,30,9,4,11,23,,39,84,0.464,13,34,0.382,20,27,0.741,12,51,16,3,4,15,20
,22,22,2021-02-04,@,DAL,W,147,116,51,89,0.573,22,43,0.512,23,27,0.852,4,45,37,6,6,8,19,,38,92,0.413,20,50,0.400,20,23,0.870,10,42,26,2,3,10,24
,23,23,2021-02-06,@,DAL,L,132,134,46,86,0.535,20,45,0.444,20,23,0.870,6,40,27,11,4,16,24,,44,96,0.458,21,47,0.447,25,30,0.833,15,47,27,5,0,14,19
,24,24,2021-02-08,@,SAS,L,100,105,38,86,0.442,13,37,0.351,11,15,0.733,6,49,29,4,6,20,19,,39,96,0.406,11,31,0.355,16,19,0.842,10,46,24,12,6,10,16
,25,25,2021-02-09,@,SAS,W,114,91,42,91,0.462,17,40,0.425,13,19,0.684,10,50,26,8,4,10,19,,32,86,0.372,8,24,0.333,19,21,0.905,8,45,20,2,5,14,16
,26,26,2021-02-11,,ORL,W,111,105,41,88,0.466,20,50,0.400,9,12,0.750,9,46,29,6,6,17,20,,38,97,0.392,15,33,0.455,14,18,0.778,13,49,19,7,6,15,17
,27,27,2021-02-13,,BRK,L,117,134,44,90,0.489,9,34,0.265,20,25,0.800,5,37,25,6,6,13,15,,50,93,0.538,16,39,0.410,18,20,0.900,8,45,35,9,5,13,15
,28,28,2021-02-15,,CLE,W,129,98,46,88,0.523,17,37,0.459,20,21,0.952,5,39,34,9,10,14,23,,37,95,0.389,8,30,0.267,16,20,0.800,15,49,19,10,3,17,24
,29,29,2021-02-17,,MIA,W,120,112,43,95,0.453,18,52,0.346,16,21,0.762,9,46,32,10,1,16,19,,44,97,0.454,13,36,0.361,11,12,0.917,7,49,28,8,5,15,22
,30,30,2021-02-19,@,ORL,L,120,124,46,97,0.474,19,42,0.452,9,15,0.600,9,45,37,8,0,13,19,,46,94,0.489,18,43,0.419,14,17,0.824,8,51,30,7,8,13,19
,31,31,2021-02-20,@,CHO,L,100,102,37,85,0.435,13,39,0.333,13,17,0.765,9,39,23,10,3,14,12,,37,75,0.493,20,40,0.500,8,9,0.889,4,44,23,7,2,24,22
,32,32,2021-02-23,@,NYK,W,114,106,40,89,0.449,13,38,0.342,21,24,0.875,7,41,30,9,8,10,18,,38,97,0.392,11,29,0.379,19,22,0.864,18,56,22,4,5,13,23
,33,33,2021-02-24,@,IND,W,111,107,39,83,0.470,5,26,0.192,28,31,0.903,8,41,27,10,4,18,25,,37,81,0.457,7,29,0.241,26,32,0.813,7,39,20,11,6,19,22
,34,34,2021-02-26,,CHO,W,130,121,48,79,0.608,11,24,0.458,23,25,0.920,4,37,38,10,3,23,19,,41,89,0.461,17,41,0.415,22,32,0.688,13,38,27,11,1,20,23
,35,35,2021-02-28,@,LAL,L,91,117,35,86,0.407,8,34,0.235,13,19,0.684,3,35,26,10,4,20,25,,40,85,0.471,11,31,0.355,26,38,0.684,14,60,22,14,6,19,21
,36,36,2021-03-03,@,POR,L,106,108,41,97,0.423,15,42,0.357,9,14,0.643,17,54,27,8,1,11,24,,36,86,0.419,14,49,0.286,22,26,0.846,8,47,15,5,4,10,16
,37,37,2021-03-04,@,PHO,L,98,120,38,88,0.432,12,35,0.343,10,16,0.625,9,40,22,9,4,17,11,,49,96,0.510,12,30,0.400,10,13,0.769,12,52,31,8,4,16,16
,38,38,2021-03-11,@,LAC,L,104,130,38,88,0.432,9,36,0.250,19,27,0.704,5,44,20,6,6,16,23,,44,96,0.458,18,41,0.439,24,29,0.828,11,56,23,10,6,11,22
,39,39,2021-03-14,,UTA,W,131,119,50,89,0.562,16,31,0.516,15,18,0.833,5,40,33,12,2,13,26,,41,93,0.441,15,44,0.341,22,29,0.759,18,51,24,6,6,14,16
,40,40,2021-03-15,,LAL,L,97,128,34,79,0.430,13,37,0.351,16,24,0.667,9,30,24,9,2,22,23,,49,78,0.628,11,27,0.407,19,25,0.760,7,46,36,9,3,19,25
,41,41,2021-03-17,@,HOU,W,108,94,41,90,0.456,16,45,0.356,10,12,0.833,6,48,32,7,4,12,26,,33,80,0.413,7,27,0.259,21,40,0.525,8,48,19,7,3,16,15
,42,42,2021-03-19,@,MEM,W,116,103,44,91,0.484,15,41,0.366,13,18,0.722,8,43,31,13,6,13,16,,39,84,0.464,8,26,0.308,17,21,0.810,9,46,24,10,6,20,17
,43,43,2021-03-20,@,MEM,L,103,111,31,90,0.344,13,41,0.317,28,34,0.824,7,46,23,8,7,11,25,,37,95,0.389,10,32,0.313,27,31,0.871,13,60,25,8,5,12,22
,44,44,2021-03-23,,PHI,L,98,108,36,83,0.434,8,25,0.320,18,26,0.692,6,38,22,5,7,11,23,,39,86,0.453,7,24,0.292,23,35,0.657,13,51,15,5,4,13,24
,45,45,2021-03-25,@,SAC,L,119,141,45,88,0.511,17,32,0.531,12,12,1.000,7,38,24,4,0,12,19,,53,89,0.596,19,38,0.500,16,19,0.842,5,38,28,6,4,6,13
,46,46,2021-03-26,,ATL,L,108,124,39,79,0.494,12,28,0.429,18,26,0.692,5,33,29,7,4,12,22,,46,84,0.548,13,33,0.394,19,24,0.792,8,45,31,6,5,10,23
,47,47,2021-03-29,,CHI,W,116,102,46,92,0.500,16,38,0.421,8,9,0.889,10,39,28,9,8,14,14,,44,84,0.524,6,24,0.250,8,11,0.727,8,39,33,8,5,19,18
,48,48,2021-04-01,@,MIA,L,109,116,36,82,0.439,15,37,0.405,22,25,0.880,12,46,23,7,3,20,26,,39,82,0.476,13,39,0.333,25,30,0.833,5,37,30,10,6,11,22
,49,49,2021-04-02,@,TOR,L,77,130,26,79,0.329,11,34,0.324,14,18,0.778,7,38,19,5,4,21,18,,47,88,0.534,15,35,0.429,21,25,0.840,10,53,26,14,8,12,17
