,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Andrew Wiggins,25,70,70,2327.0,7.7,16.1,0.476,2.1,5.7,0.377,5.5,10.5,0.53,2.6,3.7,0.716,1.2,4.0,5.2,2.6,1.0,1.1,1.9,2.4,20.1
2,Stephen Curry,32,62,62,2112.0,10.9,22.7,0.483,5.6,13.3,0.421,5.4,9.4,0.571,6.1,6.6,0.918,0.5,5.3,5.8,6.0,1.3,0.1,3.5,2.0,33.6
3,Draymond Green,30,62,62,1944.0,3.1,6.9,0.445,0.6,2.3,0.274,2.4,4.6,0.53,1.2,1.5,0.78,1.0,7.1,8.1,10.2,1.9,0.9,3.4,3.5,8.0
4,Kelly Oubre,25,55,50,1687.0,6.8,15.4,0.439,1.9,6.1,0.316,4.9,9.4,0.519,2.6,3.8,0.695,1.7,5.3,7.0,1.6,1.2,0.9,1.5,2.6,18.1
5,Kent Bazemore,31,65,16,1274.0,4.8,10.7,0.449,2.1,5.1,0.411,2.7,5.6,0.482,1.4,2.1,0.689,0.7,5.6,6.3,3.0,1.8,0.9,2.2,4.3,13.1
6,Kevon Looney,24,59,32,1108.0,3.3,6.1,0.548,0.1,0.6,0.235,3.2,5.6,0.579,0.9,1.4,0.636,3.6,6.2,9.8,3.7,0.7,0.7,1.2,4.3,7.7
7,Damion Lee,28,57,1,1079.0,4.3,9.1,0.467,2.6,6.5,0.397,1.7,2.7,0.638,1.3,1.5,0.909,0.7,5.3,6.0,2.4,1.3,0.3,1.0,3.0,12.4
8,Juan Toscano-Anderson,27,51,15,1047.0,3.9,6.7,0.585,1.2,2.9,0.412,2.7,3.8,0.718,0.7,1.0,0.69,1.0,6.7,7.6,4.8,1.3,0.9,2.0,3.7,9.7
9,Jordan Poole,21,49,6,930.0,7.3,17.1,0.424,3.5,10.1,0.346,3.8,7.1,0.536,3.6,4.1,0.877,0.5,2.8,3.3,3.6,0.9,0.3,1.8,3.2,21.6
10,James Wiseman,19,39,27,836.0,8.2,15.8,0.519,0.5,1.6,0.316,7.7,14.2,0.542,2.3,3.7,0.628,2.4,7.4,9.7,1.1,0.5,1.6,2.6,5.2,19.3
11,Mychal Mulder,26,58,5,717.0,5.5,12.4,0.443,3.9,10.0,0.392,1.6,2.4,0.66,0.7,1.1,0.619,0.4,2.4,2.8,1.2,0.6,0.6,0.8,2.6,15.5
12,Eric Paschall,24,39,2,676.0,7.7,15.6,0.491,0.9,2.8,0.321,6.8,12.8,0.529,3.4,4.7,0.719,1.4,5.2,6.6,2.7,0.6,0.4,2.2,3.5,19.7
13,Brad Wanamaker,31,39,0,625.0,3.5,10.0,0.353,0.7,3.5,0.213,2.8,6.5,0.429,2.9,3.2,0.893,0.5,3.3,3.8,5.7,1.5,0.3,2.1,3.2,10.7
14,Nico Mannion,19,29,1,332.0,3.9,11.1,0.353,2.2,5.9,0.37,1.7,5.2,0.333,2.2,2.7,0.8,0.3,3.8,4.1,6.8,1.7,0.1,3.3,3.0,12.1
15,Alen Smailagić,20,14,1,64.0,5.1,11.8,0.429,1.7,3.9,0.429,3.4,7.9,0.429,1.1,3.4,0.333,2.8,5.1,7.9,1.7,1.1,2.8,2.3,4.5,12.9
16,Gary Payton,28,10,0,40.0,9.0,11.7,0.769,1.8,3.6,0.5,7.2,8.1,0.889,2.7,3.6,0.75,1.8,8.1,9.9,0.9,5.4,0.9,0.9,7.2,22.5
17,Marquese Chriss,23,2,0,27.0,6.7,18.7,0.357,1.3,6.7,0.2,5.3,12.0,0.444,2.7,5.3,0.5,4.0,13.3,17.3,2.7,0.0,2.7,2.7,4.0,17.3
